随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-02-19 14:43:31,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
收入,2021-02-19 14:43:19,其他收入,carpooll,,港币,HKD,40.00,,,,
支出,2021-02-18 23:28:44,行车交通,加油,,港币,HKD,300.00,,,,
支出,2021-02-18 20:46:46,购物消费,超市购物,,港币,HKD,294.00,,,,
支出,2021-02-18 20:46:39,食品酒水,晚餐,,港币,HKD,56.00,,,,
支出,2021-02-18 20:46:31,食品酒水,晚餐,,港币,HKD,45.00,,,,
支出,2021-02-18 16:59:55,行车交通,过路费,,港币,HKD,8.00,,,,
支出,2021-02-18 16:59:53,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-16 21:26:18,食品酒水,晚餐,,港币,HKD,8.20,,,,
支出,2021-02-16 14:38:27,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-02-16 14:38:22,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-16 08:12:16,食品酒水,早餐,,港币,HKD,32.50,,,,
支出,2021-02-15 22:59:17,食品酒水,买菜,,港币,HKD,1227.00,,,,
支出,2021-02-15 20:09:42,行车交通,加油,,港币,HKD,300.00,,,,
支出,2021-02-15 19:47:01,食品酒水,饮料酒水,,港币,HKD,189.00,,,烟,
支出,2021-02-15 10:27:06,食品酒水,早餐,,港币,HKD,35.00,,,,
支出,2021-02-14 20:41:35,购物消费,玩具,,港币,HKD,420.00,,,,
支出,2021-02-14 20:41:21,食品酒水,饮料酒水,,港币,HKD,15.00,,,,
支出,2021-02-14 20:41:13,食品酒水,饮料酒水,,港币,HKD,36.00,,,冰淇淋,
支出,2021-02-14 20:40:43,行车交通,过路费,,港币,HKD,3.00,,,,
支出,2021-02-14 20:40:30,食品酒水,中餐,,港币,HKD,98.00,,,,
支出,2021-02-14 20:40:08,行车交通,停车,,港币,HKD,18.00,,,,
收入,2021-02-13 11:36:45,其他收入,carpooll,,港币,HKD,80.00,,,,
支出,2021-02-13 11:36:28,行车交通,加油,,港币,HKD,200.00,,,,
